score,statsDataId,title,survey_date,updated_date,gov_org,matched_search_word
4,0003073927,都道府県別　学校数及び学生数（都道府県別）,0,2019-10-28,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003066280,都道府県別　学校数及び学生数（政令指定都市別）,0,2019-10-28,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003074016,都道府県別　学校数及び学生数（政令指定都市別）（再掲）,0,2019-10-28,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003043413,98 都道府県別  全日制のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数（定時制）,201004-201103,2014-03-18,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003044258,96 都道府県別　全日制のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数（定時制）,0,2014-03-18,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003035791,98 都道府県別全日制のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数（定時制）,0,2014-03-18,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003050824,56 都道府県別　学校数及び学生数,200701-200712,2012-02-14,文部科学省,学校基本調査 都道府県別 高等専門学校 学校数 学生数
4,0003050772,40 都道府県別　学校数及び学生数（都道府県別）,200701-200712,2012-02-10,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003050773,40 都道府県別　学校数及び学生数（政令指定都市別）,200701-200712,2012-02-10,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003005407,7 都道府県別　学校数及び学生数,200701-200712,2012-02-08,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003018466,82 全日制のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数（全日制）（都道府県別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003020403,82 全日制のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数（定時制）（都道府県別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003020817,82 全日制のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数（全日制）（都道府県別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003020818,82 全日制のうち単位制による課程及び定時制の修業年限別の学校数、入学状況及び生徒数（定時制）（都道府県別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003023024,56 都道府県別　学校数及び学生数,0,2011-03-22,文部科学省,学校基本調査 都道府県別 高等専門学校 学校数 学生数
4,0003023962,56 都道府県別　学校数及び学生数,0,2011-03-22,文部科学省,学校基本調査 都道府県別 高等専門学校 学校数 学生数
4,0003022920,7 都道府県別　学校数及び学生数（都道府県別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003023858,7 都道府県別　学校数及び学生数（都道府県別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003023002,40 都道府県別　学校数及び学生数（都道府県別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003023940,40 都道府県別　学校数及び学生数（都道府県別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003022921,7 都道府県別　学校数及び学生数（再掲）（政令指定都市別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003023003,40 都道府県別　学校数及び学生数（再掲）（政令指定都市別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003023859,7 都道府県別　学校数及び学生数（再掲）（政令指定都市別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003023985,40 都道府県別　学校数及び学生数（再掲）（政令指定都市別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 大学 学校数 学生数
4,0003017263,23 都道府県別児童数別学校数 計 本校・分校,0,2010-12-24,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003017267,50 都道府県別生徒数別学校数 計 本校・分校,0,2010-12-24,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
4,0003017839,119 前期課程の都道府県別生徒数別学校数 本校・分校,0,2010-12-17,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
3,0003182621,160 修業年限別　通信制を置く学校数、入学状況及び生徒数（本科）（設置者別）,201601-201612,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
3,0003142580,131 修業年限別　通信制を置く学校数、入学状況及び生徒数（本科）（設置者別）,201501-201512,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
3,0003104615,113 修業年限別　通信制を置く学校数、入学状況及び生徒数（本科）（設置者別）,201401-201412,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
3,0003060203,93 修業年限別　通信制を置く学校数、入学状況及び生徒数（本科）（設置者別）,200604-200703,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
3,0003071433,修業年限別　通信制を置く学校数、入学状況及び生徒数（本科）（設置者別）,0,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
